employee_id,department,job_family,grade,gender,age_band,location,manager_id,tenure_years,base_salary,bonus_pct,performance_rating,hired_at,terminated_at,notes
E-01026,Engineering,Technical,L1,Female,35-44,Berlin,E-01117,5,41600,4,Exceeds,2021-04-18,,
E-01027,Engineering,Technical,L6,Male,35-44,Berlin,E-01119,2.8,127200,6.8,Exceeds,2024-03-14,,On parental leave for part of 2024.
E-01028,Finance,Corporate,L3,Male,25-34,Berlin,E-01068,0.5,63100,14.6,Meets,2026-09-11,,Grade corrected during the 2023 levelling exercise.
E-01029,Data,Technical,L2,Male,25-34,Berlin,E-01012,4.7,45600,13,Meets,2022-12-02,,
E-01030,Engineering,Technical,L6,Male,25-34,Berlin,E-01081,2.2,124200,10.9,Meets,2024-08-03,,Completed the internal leadership programme.
E-01031,Support,Operations,L3,Female,45-54,Remote (EU),E-01027,4.1,47300,4.1,Meets,2022-12-05,,
E-01032,Data,Technical,L5,Male,18-24,Warsaw,E-01017,1.6,85400,19.3,Meets,2025-01-16,,Completed the internal leadership programme.
E-01033,Data,Technical,L5,Male,25-34,Berlin,E-01035,5.3,90400,11.8,Meets,2021-06-20,,
E-01034,Engineering,Technical,L2,Male,18-24,Lisbon,E-01047,0.6,34400,19.8,Meets,2026-01-12,,
E-01035,People,Corporate,L5,Female,25-34,Lisbon,E-01044,2.2,71100,11.8,Meets,2024-07-25,,Relocated to Podgorica; package adjusted to local band.
E-01036,Support,Operations,L2,Male,18-24,Remote (EU),E-01100,3.2,44400,11.4,Meets,2023-01-18,,Completed the internal leadership programme.
E-01037,Finance,Corporate,L4,Male,55-64,Berlin,E-01118,3.7,78700,13.7,Below,2023-09-27,,Salary reviewed off-cycle after a competing offer.
E-01038,Marketing,Commercial,L5,Female,35-44,Berlin,E-01113,2.7,108200,4.8,Exceeds,2024-12-10,,
E-01039,Support,Operations,L3,Female,35-44,Remote (EU),E-01058,3.3,42200,7.3,Meets,2023-12-28,,
E-01040,Marketing,Commercial,L1,Male,35-44,Remote (EU),E-01077,3.6,31100,3.2,Exceeds,2023-02-11,,Relocated to Podgorica; package adjusted to local band.
E-01041,Finance,Corporate,L7,Male,35-44,Remote (EU),E-01058,2.4,142600,14.5,Exceeds,2024-04-25,,
E-01042,Sales,Commercial,L4,Female,35-44,Berlin,E-01000,4,78100,14.2,Outstanding,2022-12-28,,Transferred from Marketing in 2022.
E-01043,Support,Operations,L3,Female,65+,Lisbon,E-01082,2.1,37600,12.3,Meets,2024-02-14,,Salary reviewed off-cycle after a competing offer.
E-01044,Engineering,Technical,L3,Male,18-24,Lisbon,E-01091,3.5,47400,9.4,Meets,2023-04-03,,Completed the internal leadership programme.
E-01045,Sales,Commercial,L5,Male,65+,Remote (EU),E-01119,2.6,84400,14.3,Meets,2024-08-20,,Completed the internal leadership programme.
E-01046,Marketing,Commercial,L6,Male,25-34,Lisbon,E-01092,1.9,83900,8.5,Exceeds,2025-02-20,2026-01-04,On parental leave for part of 2024.
E-01047,Legal,Corporate,L6,Male,65+,Lisbon,E-01019,3.9,115100,3.8,Meets,2023-09-06,,Completed the internal leadership programme.
E-01048,Finance,Corporate,L5,Male,25-34,Warsaw,E-01021,4.6,78700,14.5,Meets,2022-04-03,,Joined through the Legal acquisition.
E-01049,Engineering,Technical,L3,Female,25-34,Berlin,E-01008,3.7,0,7.6,Exceeds,2023-03-25,,Salary reviewed off-cycle after a competing offer.
E-01050,People,Corporate,L4,Male,35-44,Remote (EU),E-01013,6.9,84100,18.6,Outstanding,2020-02-15,,Salary reviewed off-cycle after a competing offer.
E-01051,Finance,Corporate,L6,Female,45-54,Berlin,E-01025,2.8,107400,8.5,Meets,2024-12-20,,On parental leave for part of 2021.
E-01052,Data,Technical,L3,Male,25-34,Warsaw,E-01037,2,48000,6.5,Meets,2024-10-01,,
E-01053,Engineering,Technical,L2,Female,18-24,Berlin,E-01106,4.2,45200,5.3,Exceeds,2022-01-28,,
E-01054,Support,Operations,L3,Female,35-44,Berlin,E-01103,1.6,50900,8.3,Below,2025-07-08,,
E-01055,Engineering,Technical,L1,Female,18-24,Remote (EU),E-01048,1.3,34100,16.8,Exceeds,2025-01-12,,
E-01056,Sales,Commercial,L4,Male,18-24,Berlin,E-01023,6.4,84400,16.2,Meets,2020-02-15,,Grade corrected during the 2021 levelling exercise.
E-01057,Support,Operations,L2,Female,35-44,Warsaw,E-01016,2.2,35100,18.2,Meets,2024-04-10,,Joined through the Data acquisition.
E-01058,Marketing,Commercial,L5,Male,45-54,Remote (EU),E-01118,4.1,82300,14.5,Exceeds,2022-12-28,,
E-01059,Engineering,Technical,L4,Male,55-64,Warsaw,E-01006,3.4,61100,15.2,Meets,2023-12-12,,Relocated to Berlin; package adjusted to local band.
E-01060,Sales,Commercial,L4,Male,35-44,Berlin,E-01116,1.2,72400,17.6,Exceeds,2025-05-10,,Completed the internal leadership programme.
E-01061,Support,Operations,L2,Male,25-34,Remote (EU),E-01071,1.3,47200,9.8,Meets,2025-03-06,,Joined through the Engineering acquisition.
E-01062,Engineering,Technical,L4,Female,25-34,Warsaw,E-01004,1,52200,19,Exceeds,2025-01-23,,Completed the internal leadership programme.
E-01063,Engineering,Technical,L1,Male,35-44,Remote (EU),E-01119,2.3,32900,16.1,Exceeds,2024-04-13,,Transferred from People in 2023.
E-01064,Data,Technical,L4,Male,25-34,Lisbon,E-01091,1.9,58100,9.3,Exceeds,2025-03-20,,Transferred from Support in 2022.
E-01065,Finance,Corporate,L4,Male,25-34,Berlin,E-01007,0.5,92000,6.5,Meets,2026-12-18,,Completed the internal leadership programme.
E-01066,Sales,Commercial,L1,Female,65+,Warsaw,E-01016,4.7,26700,3.2,Meets,2022-09-03,,
E-01067,Sales,Commercial,L6,Female,25-34,Podgorica,E-01118,0.7,86100,19.5,Below,2026-07-03,,Relocated to Lisbon; package adjusted to local band.
E-01068,Finance,Corporate,L5,Female,35-44,Berlin,E-01081,0.1,105200,12.2,Meets,2026-10-28,,Salary reviewed off-cycle after a competing offer.
E-01069,Data,Technical,L6,Female,35-44,Warsaw,E-01084,1.4,84700,18,Exceeds,2025-08-07,,Relocated to Remote (EU); package adjusted to local band.
E-01070,Engineering,Technical,L1,Male,35-44,Podgorica,E-01075,6.6,26200,16.8,Exceeds,2020-05-22,,Transferred from Support in 2019.
E-01071,Marketing,Commercial,L4,Male,25-34,Lisbon,E-01092,1.8,67400,6.7,Exceeds,2025-11-07,,Grade corrected during the 2023 levelling exercise.
E-01072,Engineering,Technical,L6,Male,35-44,Berlin,E-01026,2.2,159500,13.7,Meets,2024-10-06,,Transferred from Legal in 2025.
E-01073,Sales,Commercial,L4,Male,25-34,Podgorica,E-01038,4.5,48600,15.4,Outstanding,2022-06-26,,On parental leave for part of 2020.
E-01074,Engineering,Technical,L7,Male,55-64,Lisbon,E-01049,0.6,115000,7.5,Meets,2026-10-11,,
E-01075,Data,Technical,L3,Male,25-34,Berlin,E-01062,3.1,64600,19,Exceeds,2023-11-06,,Completed the internal leadership programme.
E-01076,Legal,Corporate,L5,Male,25-34,Berlin,E-01009,4.9,102100,19.9,Outstanding,2022-07-16,,Joined through the Engineering acquisition.
E-01077,People,Corporate,L3,Female,45-54,Berlin,E-01019,2.9,53500,11.4,Meets,2024-02-03,,On parental leave for part of 2021.
E-01078,Support,Operations,L2,Male,25-34,Lisbon,E-01022,2.9,39100,9.6,Outstanding,2024-11-26,,Salary reviewed off-cycle after a competing offer.
E-01079,Data,Technical,L3,Female,35-44,Berlin,E-01004,2.8,50400,8.6,Exceeds,2024-07-09,,
E-01080,Engineering,Technical,L2,Female,35-44,Podgorica,E-01025,6.3,26100,9.5,Exceeds,2020-06-06,,Transferred from Marketing in 2025.
E-01081,Engineering,Technical,L3,Male,25-34,Remote (EU),E-01020,0.1,53300,17.9,Meets,2026-05-10,,Salary reviewed off-cycle after a competing offer.
E-01082,Sales,Commercial,L2,Female,35-44,Warsaw,E-01058,4.4,34000,15.7,Outstanding,2022-02-15,,Grade corrected during the 2019 levelling exercise.
E-01083,Data,Technical,L6,Male,35-44,Berlin,E-01113,0.9,119200,6.5,Exceeds,2026-10-07,2025-08-17,
E-01084,Sales,Commercial,L1,Male,18-24,Remote (EU),E-01101,3.1,39800,12.9,Exceeds,2023-07-01,,Transferred from Legal in 2022.
E-01085,Legal,Corporate,L5,Male,25-34,Remote (EU),E-01019,2.4,69100,5.7,Meets,2024-01-15,,Completed the internal leadership programme.
E-01086,Sales,Commercial,L2,Female,25-34,Podgorica,E-01071,3,25500,17.9,Below,2023-07-01,,
E-01087,Data,Technical,L2,Male,35-44,Warsaw,E-01030,4.9,39300,7.2,Outstanding,2022-01-04,,
E-01088,Finance,Corporate,L3,Female,35-44,Lisbon,E-01101,3.5,44700,10.7,Meets,2023-06-01,,
E-01089,Engineering,Technical,L1,Male,45-54,Remote (EU),E-01033,1.3,34000,7.6,Meets,2025-01-25,2025-12-13,Joined through the Marketing acquisition.
E-01090,People,Corporate,L4,Male,35-44,Remote (EU),E-01042,2.1,74600,15.3,Meets,2024-07-25,,
E-01091,Engineering,Technical,L4,Female,35-44,Remote (EU),E-01020,1.5,59300,9.3,Meets,2025-04-23,,Salary reviewed off-cycle after a competing offer.
E-01092,Engineering,Technical,L2,Male,35-44,Berlin,E-01011,6.5,54600,14.6,Meets,2020-08-08,,Grade corrected during the 2019 levelling exercise.
E-01093,Marketing,Commercial,L4,Male,25-34,Berlin,E-01017,0.8,76000,19.7,Meets,2026-03-23,,
E-01094,People,Corporate,L1,Male,35-44,Warsaw,E-01024,2.1,30300,15.1,Meets,2024-02-22,,On parental leave for part of 2019.
E-01095,Sales,Commercial,L5,Male,18-24,Berlin,E-01069,6.8,0,18.9,Meets,2020-07-17,2026-12-28,On parental leave for part of 2020.
E-01096,People,Corporate,L2,Male,25-34,Podgorica,E-01025,2.6,28700,16.7,Meets,2024-07-03,,
E-01097,Sales,Commercial,L4,Female,45-54,Berlin,E-01115,6.5,80300,7.6,Exceeds,2020-03-12,,Relocated to Berlin; package adjusted to local band.
E-01098,Finance,Corporate,L5,Male,25-34,Podgorica,E-01006,2.5,64000,10.7,Meets,2024-02-17,,
E-01099,Engineering,Technical,L3,Male,25-34,Berlin,E-01085,0.1,68500,15.9,Meets,2026-03-23,,
E-01100,Sales,Commercial,L4,Male,35-44,Berlin,E-01029,5.7,85200,17,Exceeds,2021-10-25,,Completed the internal leadership programme.
E-01101,Sales,Commercial,L6,Male,35-44,Remote (EU),E-01025,5.1,131100,11.6,Exceeds,2021-04-28,,
E-01102,Data,Technical,L7,Male,45-54,Warsaw,E-01105,3.2,132200,13.5,Meets,2023-01-18,,Completed the internal leadership programme.
E-01103,Engineering,Technical,L6,Female,25-34,Remote (EU),E-01035,0.4,112200,20,Outstanding,2026-03-06,,
E-01104,People,Corporate,L3,Male,18-24,Berlin,E-01069,1.3,59300,15.5,Meets,2025-04-12,,Joined through the Marketing acquisition.
E-01105,Finance,Corporate,L3,Female,25-34,Remote (EU),E-01019,8.6,54900,15.8,Meets,2018-08-12,,Relocated to Berlin; package adjusted to local band.
E-01106,Engineering,Technical,L1,Female,25-34,Berlin,E-01046,0.9,36300,11.2,Meets,2026-08-23,,Relocated to Remote (EU); package adjusted to local band.
E-01107,Support,Operations,L4,Male,35-44,Lisbon,E-01071,0.9,65100,19.9,Meets,2026-09-18,,
E-01108,Data,Technical,L5,Male,45-54,Berlin,E-01013,3.8,105000,16.1,Meets,2023-05-17,,
E-01109,Sales,Commercial,L1,Male,35-44,Berlin,E-01081,5.9,42200,16.6,Outstanding,2021-02-27,2026-10-09,Completed the internal leadership programme.
E-01110,Support,Operations,L4,Female,18-24,Berlin,E-01051,2.9,81400,9.8,Outstanding,2024-12-20,,
E-01111,People,Corporate,L4,Male,25-34,Berlin,E-01043,2,76100,16.9,Meets,2024-11-03,,Grade corrected during the 2025 levelling exercise.
E-01112,Engineering,Technical,L3,Male,35-44,Remote (EU),E-01036,7,56700,6.1,Below,2019-06-19,,
E-01113,Sales,Commercial,L5,Male,35-44,Remote (EU),E-01104,1.3,87100,19.1,Outstanding,2025-10-01,,On parental leave for part of 2019.
E-01114,Sales,Commercial,L3,Male,35-44,Berlin,E-01026,3.4,65100,16.1,Meets,2023-02-02,,
E-01115,Finance,Corporate,L3,Male,25-34,Remote (EU),E-01116,3.1,59300,11.2,Meets,2023-11-02,,Joined through the Finance acquisition.
E-01116,Legal,Corporate,L4,Female,45-54,Berlin,E-01043,0.4,66400,11.1,Exceeds,2026-03-13,,
E-01117,People,Corporate,L3,Male,25-34,Berlin,E-01051,0.6,66300,7.2,Meets,2026-04-11,,Completed the internal leadership programme.
E-01118,Engineering,Technical,L4,Male,25-34,Podgorica,E-01117,3.4,47900,7.1,Meets,2023-03-14,,Salary reviewed off-cycle after a competing offer.
E-01119,Engineering,Technical,L4,Male,35-44,Berlin,E-01061,1.1,0,9.5,Outstanding,2025-11-24,,
E-01120,Sales,Commercial,L1,Male,25-34,Podgorica,E-01044,0.9,24200,12.9,Outstanding,2026-05-09,2026-12-05,
E-01121,Sales,Commercial,L5,Male,25-34,Podgorica,E-01080,6,70100,9.1,Outstanding,2020-02-24,,Relocated to Remote (EU); package adjusted to local band.
E-01122,People,Corporate,L4,Male,35-44,Berlin,E-01038,2.4,80900,18.5,Meets,2024-07-24,,
E-01123,Sales,Commercial,L3,Female,35-44,Lisbon,E-01054,0.2,47400,8,Meets,2026-03-12,,
E-01124,Sales,Commercial,L1,Female,45-54,Remote (EU),E-01117,2,30000,4.6,Meets,2024-01-08,2025-10-18,Grade corrected during the 2021 levelling exercise.
E-01125,People,Corporate,L5,Male,25-34,Podgorica,E-01052,5.5,74700,8.5,Meets,2021-06-19,,
E-01126,Engineering,Technical,L3,Male,25-34,Podgorica,E-01084,6,38300,5.7,Outstanding,2020-10-14,2025-07-10,Salary reviewed off-cycle after a competing offer.
E-01127,Finance,Corporate,L4,Male,45-54,Remote (EU),E-01064,5.2,73200,4.2,Meets,2021-07-18,,Completed the internal leadership programme.
E-01128,Sales,Commercial,L6,Male,35-44,Podgorica,E-01006,1.7,79300,13.1,Exceeds,2025-06-13,,
E-01129,Engineering,Technical,L4,Male,18-24,Podgorica,E-01011,4.5,51400,6.1,Exceeds,2022-08-23,2026-11-24,Grade corrected during the 2022 levelling exercise.
E-01130,Engineering,Technical,L1,Male,25-34,Remote (EU),E-01054,2.7,32800,5.9,Meets,2024-06-02,,Joined through the Marketing acquisition.
E-01131,Marketing,Commercial,L5,Female,25-34,Berlin,E-01012,0.3,100800,8.9,Meets,2026-02-26,,Joined through the Legal acquisition.
E-01132,Engineering,Technical,L4,Female,35-44,Warsaw,E-01104,10,58000,13.1,Exceeds,2016-03-18,,
E-01133,Engineering,Technical,L4,Male,35-44,Warsaw,E-01062,3,54500,14.5,Meets,2023-10-04,,Salary reviewed off-cycle after a competing offer.
E-01134,Sales,Commercial,L3,Male,25-34,Warsaw,E-01008,2.2,46600,17.6,Exceeds,2024-04-03,,Grade corrected during the 2025 levelling exercise.
E-01135,Data,Technical,L3,Male,35-44,Berlin,E-01099,7.9,58000,6.7,Meets,2019-06-21,,Grade corrected during the 2019 levelling exercise.
E-01136,Marketing,Commercial,L2,Female,25-34,Berlin,E-01098,3.8,48700,12.7,Meets,2023-02-03,,Relocated to Podgorica; package adjusted to local band.
E-01137,Engineering,Technical,L3,Male,35-44,Lisbon,E-01106,7.1,50000,9.2,Exceeds,2019-03-23,,
E-01138,Data,Technical,L3,Male,35-44,Lisbon,E-01073,1.5,48800,4.4,Meets,2025-05-03,,Grade corrected during the 2019 levelling exercise.
E-01139,Marketing,Commercial,L7,Male,18-24,Warsaw,E-01041,0.4,119900,4.5,Exceeds,2026-12-14,,Grade corrected during the 2025 levelling exercise.
E-01140,Engineering,Technical,L2,Female,25-34,Warsaw,E-01109,0.5,32900,15.8,Meets,2026-07-17,,
E-01141,Support,Operations,L3,Male,18-24,Remote (EU),E-01022,2.3,50800,13.3,Exceeds,2024-04-24,,Relocated to Podgorica; package adjusted to local band.
E-01142,Legal,Corporate,L5,Male,25-34,Warsaw,E-01078,0.9,77700,3.9,Meets,2026-09-09,,Transferred from Finance in 2019.
E-01143,Data,Technical,L4,Male,25-34,Remote (EU),E-01061,2.6,72400,8,Meets,2024-12-18,,
E-01144,Data,Technical,L3,Male,35-44,Remote (EU),E-01118,1.6,50200,14.8,Meets,2025-02-18,,
E-01145,Engineering,Technical,L3,Female,35-44,Podgorica,E-01068,0.7,41900,15,Meets,2026-12-26,,
E-01146,Engineering,Technical,L6,Male,45-54,Podgorica,E-01068,4.2,84500,7.6,Meets,2022-03-10,,Completed the internal leadership programme.
E-01147,Marketing,Commercial,L2,Male,45-54,Warsaw,E-01049,7.5,38400,19,Meets,2019-05-09,,Salary reviewed off-cycle after a competing offer.
E-01148,Sales,Commercial,L2,Female,25-34,Berlin,E-01063,1.9,47200,5.3,Exceeds,2025-11-15,,Transferred from Marketing in 2023.
E-01149,Engineering,Technical,L7,Male,18-24,Warsaw,E-01019,1.6,116300,12.5,Exceeds,2025-04-05,,Transferred from Marketing in 2022.
E-01150,Sales,Commercial,L6,Male,35-44,Warsaw,E-01102,1,92500,15.5,Meets,2025-12-05,2025-07-07,Grade corrected during the 2022 levelling exercise.
E-01151,Marketing,Commercial,L3,Female,35-44,Remote (EU),E-01002,1.3,46400,8.8,Meets,2025-08-15,,On parental leave for part of 2020.
E-01152,Data,Technical,L6,Male,18-24,Remote (EU),E-01020,5.8,115200,17.8,Meets,2021-05-09,,Transferred from Sales in 2024.
E-01153,Marketing,Commercial,L3,Male,35-44,Podgorica,E-01061,4.1,38900,9,Exceeds,2022-11-22,,Relocated to Lisbon; package adjusted to local band.
E-01154,Marketing,Commercial,L6,Female,35-44,Warsaw,E-01105,1.8,88400,19.6,Exceeds,2025-03-07,,
E-01155,Engineering,Technical,L4,Female,35-44,Lisbon,E-01028,0.7,57700,19.6,Exceeds,2026-09-05,,
E-01156,People,Corporate,L4,Male,45-54,Remote (EU),E-01065,0.8,70000,3.9,Meets,2026-08-10,,
E-01157,People,Corporate,L5,Male,18-24,Lisbon,E-01067,1.4,78000,7.6,Below,2025-12-09,2026-10-19,
E-01158,Sales,Commercial,L5,Female,25-34,Berlin,E-01046,2.7,90300,9.3,Exceeds,2024-08-05,,Completed the internal leadership programme.
E-01159,Marketing,Commercial,L6,Male,25-34,Berlin,E-01034,2.1,123300,10.9,Exceeds,2024-04-14,2025-08-19,Salary reviewed off-cycle after a competing offer.
E-01160,Engineering,Technical,L6,Male,45-54,Remote (EU),E-01112,5.3,122200,3.1,Meets,2021-01-21,,
E-01161,Engineering,Technical,L4,Female,45-54,Berlin,E-01108,2.8,77900,6,Meets,2024-05-03,,
E-01162,People,Corporate,L4,Male,25-34,Warsaw,E-01094,6.1,62300,15.7,Meets,2020-01-17,,Grade corrected during the 2025 levelling exercise.
E-01163,Engineering,Technical,L1,Male,35-44,Remote (EU),E-01033,6.3,38800,8,Below,2020-06-15,,Relocated to Berlin; package adjusted to local band.
E-01164,Engineering,Technical,L2,Male,35-44,Remote (EU),E-01000,2.8,35400,7.4,Below,2024-06-18,,
E-01165,Engineering,Technical,L1,Male,55-64,Lisbon,E-01047,11.3,33000,19.3,Meets,2015-08-26,,Transferred from Legal in 2019.
E-01166,Engineering,Technical,L2,Male,35-44,Warsaw,E-01108,3.4,36100,8.2,Meets,2023-05-19,,Salary reviewed off-cycle after a competing offer.
E-01167,People,Corporate,L4,Male,45-54,Remote (EU),E-01033,2.8,74000,5.2,Below,2024-12-08,,Relocated to Warsaw; package adjusted to local band.
E-01168,People,Corporate,L4,Female,55-64,Remote (EU),E-01022,1.5,55900,14.8,Meets,2025-11-21,2026-03-19,Completed the internal leadership programme.
E-01169,Support,Operations,L4,Male,35-44,Podgorica,E-01062,0.2,45700,16.4,Meets,2026-11-14,,Relocated to Podgorica; package adjusted to local band.
E-01170,Support,Operations,L4,Male,25-34,Remote (EU),E-01041,0.2,68300,19.8,Exceeds,2026-04-11,,
E-01171,Engineering,Technical,L5,Male,25-34,Lisbon,E-01101,2.4,79400,17.1,Exceeds,2024-01-23,,Completed the internal leadership programme.
E-01172,Engineering,Technical,L4,Female,35-44,Remote (EU),E-01115,2.5,73300,16.4,Outstanding,2024-10-06,2025-02-21,Joined through the Marketing acquisition.
E-01173,Engineering,Technical,L3,Male,45-54,Lisbon,E-01066,0.2,0,11.7,Meets,2026-01-02,,Salary reviewed off-cycle after a competing offer.
E-01174,Engineering,Technical,L6,Male,45-54,Remote (EU),E-01055,1,125000,10.3,Outstanding,2025-05-01,,Grade corrected during the 2022 levelling exercise.
E-01175,Sales,Commercial,L1,Male,18-24,Berlin,E-01105,2.1,35600,12.3,Meets,2024-10-17,,Salary reviewed off-cycle after a competing offer.
E-01176,Sales,Commercial,L1,Male,18-24,Lisbon,E-01067,3.6,32500,17.8,Exceeds,2023-01-24,,Completed the internal leadership programme.
E-01177,Data,Technical,L1,Male,18-24,Berlin,E-01077,4.1,40000,5.1,Meets,2022-05-27,,Transferred from Sales in 2022.
E-01178,Sales,Commercial,L1,Female,65+,Berlin,E-01062,5.3,40200,7.5,Below,2021-10-26,,Salary reviewed off-cycle after a competing offer.
E-01179,Engineering,Technical,L4,Male,35-44,Remote (EU),E-01083,1.6,64400,10.3,Meets,2025-01-16,,Relocated to Lisbon; package adjusted to local band.
E-01180,Legal,Corporate,L5,Male,35-44,Remote (EU),E-01058,0.5,75800,17,Meets,2026-06-04,,On parental leave for part of 2024.
E-01181,Finance,Corporate,L6,Female,45-54,Lisbon,E-01040,0.4,95600,14.1,Below,2026-10-25,2026-09-16,On parental leave for part of 2025.
E-01182,Engineering,Technical,L3,Male,25-34,Berlin,E-01000,5.7,60800,8.7,Meets,2021-11-08,,Completed the internal leadership programme.
E-01183,Engineering,Technical,L5,Male,25-34,Berlin,E-01073,1.9,104000,7.1,Meets,2025-07-12,,
E-01184,Marketing,Commercial,L2,Male,25-34,Berlin,E-01076,0.8,51100,15,Outstanding,2026-02-20,,Relocated to Podgorica; package adjusted to local band.
E-01185,Marketing,Commercial,L3,Male,45-54,Berlin,E-01030,5.2,72100,14.8,Exceeds,2021-09-21,,Salary reviewed off-cycle after a competing offer.
E-01186,Engineering,Technical,L6,Male,25-34,Berlin,E-01031,2,137800,6.4,Meets,2024-02-22,2026-03-24,Completed the internal leadership programme.
E-01187,Engineering,Technical,L1,Female,25-34,Lisbon,E-01000,0.5,25800,15.1,Outstanding,2026-12-13,2025-05-12,Grade corrected during the 2025 levelling exercise.
E-01188,Support,Operations,L4,Female,35-44,Berlin,E-01083,0.9,67100,6.4,Outstanding,2026-06-13,,On parental leave for part of 2024.
E-01189,Sales,Commercial,L1,Male,25-34,Podgorica,E-01005,1.5,22600,6,Exceeds,2025-10-15,,Joined through the Finance acquisition.
E-01190,Finance,Corporate,L4,Male,35-44,Remote (EU),E-01108,4.3,64000,9.1,Exceeds,2022-01-28,,Grade corrected during the 2020 levelling exercise.
E-01191,Engineering,Technical,L5,Female,35-44,Remote (EU),E-01034,3,76200,8.3,Meets,2023-05-07,,
E-01192,Finance,Corporate,L6,Male,35-44,Remote (EU),E-01060,2.1,112700,18.5,Outstanding,2024-09-11,,On parental leave for part of 2022.
E-01193,Sales,Commercial,L5,Male,25-34,Lisbon,E-01041,5.7,84500,14.4,Meets,2021-12-05,,Grade corrected during the 2022 levelling exercise.
E-01194,Data,Technical,L5,Female,25-34,Warsaw,E-01022,1.8,76700,11.6,Outstanding,2025-01-22,,Salary reviewed off-cycle after a competing offer.
E-01195,People,Corporate,L5,Male,35-44,Berlin,E-01117,1.8,108100,13.5,Exceeds,2025-06-14,,
E-01196,Data,Technical,L4,Male,35-44,Lisbon,E-01039,1.2,63800,17.4,Meets,2025-04-14,2026-02-03,Transferred from Legal in 2020.
